DefectID,RuleID,TableName,SourceRowNumber,RecordID,FieldName,OriginalValue,InjectedValue,ExpectedSeverity,ExpectedIssueDescription
DEF0038,DQ005,TimeEntries,17,TE00016,HoursWorked,3,30,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0039,DQ005,TimeEntries,18,TE00017,HoursWorked,8,0,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0040,DQ005,TimeEntries,19,TE00018,HoursWorked,4,-1,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0041,DQ005,TimeEntries,20,TE00019,HoursWorked,3.5,25,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0042,DQ005,TimeEntries,21,TE00020,HoursWorked,8,30,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0043,DQ005,TimeEntries,22,TE00021,HoursWorked,7.5,0,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0044,DQ005,TimeEntries,23,TE00022,HoursWorked,7.5,-1,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0045,DQ005,TimeEntries,24,TE00023,HoursWorked,0.5,25,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0046,DQ005,TimeEntries,25,TE00024,HoursWorked,6,30,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0047,DQ005,TimeEntries,26,TE00025,HoursWorked,4.5,0,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0048,DQ005,TimeEntries,27,TE00026,HoursWorked,1,-1,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0049,DQ005,TimeEntries,28,TE00027,HoursWorked,5.5,25,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0050,DQ005,TimeEntries,29,TE00028,HoursWorked,2.5,30,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0051,DQ005,TimeEntries,30,TE00029,HoursWorked,0.5,0,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0052,DQ005,TimeEntries,31,TE00030,HoursWorked,1.5,-1,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0053,DQ005,TimeEntries,32,TE00031,HoursWorked,1.5,25,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0054,DQ005,TimeEntries,33,TE00032,HoursWorked,7,30,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0055,DQ005,TimeEntries,34,TE00033,HoursWorked,5,0,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0056,DQ005,TimeEntries,35,TE00034,HoursWorked,4,-1,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0057,DQ005,TimeEntries,36,TE00035,HoursWorked,7.5,25,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0058,DQ005,TimeEntries,37,TE00036,HoursWorked,7.5,30,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0059,DQ005,TimeEntries,38,TE00037,HoursWorked,5,0,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0060,DQ005,TimeEntries,39,TE00038,HoursWorked,1.5,-1,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0061,DQ005,TimeEntries,40,TE00039,HoursWorked,7,25,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0062,DQ005,TimeEntries,41,TE00040,HoursWorked,7.5,30,High,Time entry hours are less than or equal to 0 or greater than 24.
DEF0063,DQ007,TimeEntries,42,TE00041,MatterID,M0093,MX0001,Critical,Time entry references a MatterID that does not exist.
DEF0064,DQ007,TimeEntries,43,TE00042,MatterID,M0005,MX0002,Critical,Time entry references a MatterID that does not exist.
DEF0065,DQ007,TimeEntries,44,TE00043,MatterID,M0035,MX0003,Critical,Time entry references a MatterID that does not exist.
DEF0066,DQ007,TimeEntries,45,TE00044,MatterID,M0120,MX0004,Critical,Time entry references a MatterID that does not exist.
DEF0067,DQ007,TimeEntries,46,TE00045,MatterID,M0102,MX0005,Critical,Time entry references a MatterID that does not exist.
DEF0068,DQ007,TimeEntries,47,TE00046,MatterID,M0076,MX0006,Critical,Time entry references a MatterID that does not exist.
DEF0069,DQ007,TimeEntries,48,TE00047,MatterID,M0064,MX0007,Critical,Time entry references a MatterID that does not exist.
DEF0070,DQ007,TimeEntries,49,TE00048,MatterID,M0007,MX0008,Critical,Time entry references a MatterID that does not exist.
DEF0071,DQ007,TimeEntries,50,TE00049,MatterID,M0112,MX0009,Critical,Time entry references a MatterID that does not exist.
DEF0072,DQ007,TimeEntries,51,TE00050,MatterID,M0132,MX0010,Critical,Time entry references a MatterID that does not exist.
DEF0073,DQ007,TimeEntries,52,TE00051,MatterID,M0138,MX0011,Critical,Time entry references a MatterID that does not exist.
DEF0074,DQ007,TimeEntries,53,TE00052,MatterID,M0019,MX0012,Critical,Time entry references a MatterID that does not exist.
DEF0075,DQ007,TimeEntries,54,TE00053,MatterID,M0079,MX0013,Critical,Time entry references a MatterID that does not exist.
DEF0076,DQ007,TimeEntries,55,TE00054,MatterID,M0115,MX0014,Critical,Time entry references a MatterID that does not exist.
DEF0077,DQ007,TimeEntries,56,TE00055,MatterID,M0079,MX0015,Critical,Time entry references a MatterID that does not exist.
DEF0078,DQ007,TimeEntries,57,TE00056,MatterID,M0139,MX0016,Critical,Time entry references a MatterID that does not exist.
DEF0079,DQ007,TimeEntries,58,TE00057,MatterID,M0067,MX0017,Critical,Time entry references a MatterID that does not exist.
DEF0080,DQ007,TimeEntries,59,TE00058,MatterID,M0121,MX0018,Critical,Time entry references a MatterID that does not exist.
DEF0081,DQ007,TimeEntries,60,TE00059,MatterID,M0149,MX0019,Critical,Time entry references a MatterID that does not exist.
DEF0082,DQ007,TimeEntries,61,TE00060,MatterID,M0062,MX0020,Critical,Time entry references a MatterID that does not exist.
DEF0083,DQ007,TimeEntries,62,TE00061,MatterID,M0067,MX0021,Critical,Time entry references a MatterID that does not exist.
DEF0084,DQ007,TimeEntries,63,TE00062,MatterID,M0074,MX0022,Critical,Time entry references a MatterID that does not exist.
DEF0085,DQ007,TimeEntries,64,TE00063,MatterID,M0079,MX0023,Critical,Time entry references a MatterID that does not exist.
DEF0086,DQ007,TimeEntries,65,TE00064,MatterID,M0034,MX0024,Critical,Time entry references a MatterID that does not exist.
DEF0087,DQ007,TimeEntries,66,TE00065,MatterID,M0024,MX0025,Critical,Time entry references a MatterID that does not exist.
DEF0088,DQ007,TimeEntries,67,TE00066,MatterID,M0038,MX0026,Critical,Time entry references a MatterID that does not exist.
DEF0089,DQ007,TimeEntries,68,TE00067,MatterID,M0037,MX0027,Critical,Time entry references a MatterID that does not exist.
DEF0090,DQ007,TimeEntries,69,TE00068,MatterID,M0030,MX0028,Critical,Time entry references a MatterID that does not exist.
DEF0091,DQ007,TimeEntries,70,TE00069,MatterID,M0049,MX0029,Critical,Time entry references a MatterID that does not exist.
DEF0092,DQ007,TimeEntries,71,TE00070,MatterID,M0131,MX0030,Critical,Time entry references a MatterID that does not exist.
DEF0093,DQ007,TimeEntries,72,TE00071,MatterID,M0107,MX0031,Critical,Time entry references a MatterID that does not exist.
DEF0094,DQ007,TimeEntries,73,TE00072,MatterID,M0044,MX0032,Critical,Time entry references a MatterID that does not exist.
DEF0095,DQ007,TimeEntries,74,TE00073,MatterID,M0027,MX0033,Critical,Time entry references a MatterID that does not exist.
DEF0096,DQ007,TimeEntries,75,TE00074,MatterID,M0085,MX0034,Critical,Time entry references a MatterID that does not exist.
DEF0097,DQ007,TimeEntries,76,TE00075,MatterID,M0017,MX0035,Critical,Time entry references a MatterID that does not exist.
DEF0098,DQ007,TimeEntries,77,TE00076,MatterID,M0084,MX0036,Critical,Time entry references a MatterID that does not exist.
DEF0099,DQ007,TimeEntries,78,TE00077,MatterID,M0135,MX0037,Critical,Time entry references a MatterID that does not exist.
DEF0100,DQ007,TimeEntries,79,TE00078,MatterID,M0014,MX0038,Critical,Time entry references a MatterID that does not exist.
DEF0101,DQ007,TimeEntries,80,TE00079,MatterID,M0031,MX0039,Critical,Time entry references a MatterID that does not exist.
DEF0102,DQ007,TimeEntries,81,TE00080,MatterID,M0148,MX0040,Critical,Time entry references a MatterID that does not exist.
DEF0103,DQ007,TimeEntries,82,TE00081,MatterID,M0082,MX0041,Critical,Time entry references a MatterID that does not exist.
DEF0104,DQ007,TimeEntries,83,TE00082,MatterID,M0098,MX0042,Critical,Time entry references a MatterID that does not exist.
DEF0105,DQ007,TimeEntries,84,TE00083,MatterID,M0081,MX0043,Critical,Time entry references a MatterID that does not exist.
DEF0106,DQ007,TimeEntries,85,TE00084,MatterID,M0135,MX0044,Critical,Time entry references a MatterID that does not exist.
DEF0107,DQ007,TimeEntries,86,TE00085,MatterID,M0081,MX0045,Critical,Time entry references a MatterID that does not exist.
DEF0108,DQ007,TimeEntries,87,TE00086,MatterID,M0040,MX0046,Critical,Time entry references a MatterID that does not exist.
DEF0109,DQ007,TimeEntries,88,TE00087,MatterID,M0017,MX0047,Critical,Time entry references a MatterID that does not exist.
DEF0110,DQ007,TimeEntries,89,TE00088,MatterID,M0032,MX0048,Critical,Time entry references a MatterID that does not exist.
DEF0111,DQ007,TimeEntries,90,TE00089,MatterID,M0139,MX0049,Critical,Time entry references a MatterID that does not exist.
DEF0112,DQ007,TimeEntries,91,TE00090,MatterID,M0128,MX0050,Critical,Time entry references a MatterID that does not exist.
DEF0113,DQ008,TimeEntries,92,TE00091,BillingRate,675,,Medium,Time entry has no billing rate.
DEF0114,DQ008,TimeEntries,93,TE00092,BillingRate,550,,Medium,Time entry has no billing rate.
DEF0115,DQ008,TimeEntries,94,TE00093,BillingRate,750,,Medium,Time entry has no billing rate.
DEF0116,DQ008,TimeEntries,95,TE00094,BillingRate,400,,Medium,Time entry has no billing rate.
DEF0117,DQ008,TimeEntries,96,TE00095,BillingRate,525,,Medium,Time entry has no billing rate.
DEF0118,DQ008,TimeEntries,97,TE00096,BillingRate,575,,Medium,Time entry has no billing rate.
DEF0119,DQ008,TimeEntries,98,TE00097,BillingRate,600,,Medium,Time entry has no billing rate.
DEF0120,DQ008,TimeEntries,99,TE00098,BillingRate,400,,Medium,Time entry has no billing rate.
DEF0121,DQ008,TimeEntries,100,TE00099,BillingRate,400,,Medium,Time entry has no billing rate.
DEF0122,DQ008,TimeEntries,101,TE00100,BillingRate,675,,Medium,Time entry has no billing rate.
DEF0123,DQ008,TimeEntries,102,TE00101,BillingRate,725,,Medium,Time entry has no billing rate.
DEF0124,DQ008,TimeEntries,103,TE00102,BillingRate,375,,Medium,Time entry has no billing rate.
DEF0125,DQ008,TimeEntries,104,TE00103,BillingRate,550,,Medium,Time entry has no billing rate.
DEF0126,DQ008,TimeEntries,105,TE00104,BillingRate,625,,Medium,Time entry has no billing rate.
DEF0127,DQ008,TimeEntries,106,TE00105,BillingRate,750,,Medium,Time entry has no billing rate.
DEF0128,DQ008,TimeEntries,107,TE00106,BillingRate,475,,Medium,Time entry has no billing rate.
DEF0129,DQ008,TimeEntries,108,TE00107,BillingRate,375,,Medium,Time entry has no billing rate.
DEF0130,DQ008,TimeEntries,109,TE00108,BillingRate,450,,Medium,Time entry has no billing rate.
DEF0131,DQ008,TimeEntries,110,TE00109,BillingRate,425,,Medium,Time entry has no billing rate.
DEF0132,DQ008,TimeEntries,111,TE00110,BillingRate,575,,Medium,Time entry has no billing rate.
DEF0133,DQ010,TimeEntries,112,TE00111,AttorneyID|WorkDate|HoursWorked,A021|2024-10-01|1,A007|2026-08-01|6,Medium,Attorney A007 has more than 16 total hours on 2026-08-01.
DEF0134,DQ010,TimeEntries,113,TE00112,AttorneyID|WorkDate|HoursWorked,A027|2025-07-19|1.5,A007|2026-08-01|6,Medium,Attorney A007 has more than 16 total hours on 2026-08-01.
DEF0135,DQ010,TimeEntries,114,TE00113,AttorneyID|WorkDate|HoursWorked,A032|2026-07-12|4,A007|2026-08-01|6,Medium,Attorney A007 has more than 16 total hours on 2026-08-01.
DEF0136,DQ010,TimeEntries,115,TE00114,AttorneyID|WorkDate|HoursWorked,A025|2025-02-08|4.5,A008|2026-08-01|6,Medium,Attorney A008 has more than 16 total hours on 2026-08-01.
DEF0137,DQ010,TimeEntries,116,TE00115,AttorneyID|WorkDate|HoursWorked,A035|2025-12-22|5,A008|2026-08-01|6,Medium,Attorney A008 has more than 16 total hours on 2026-08-01.
DEF0138,DQ010,TimeEntries,117,TE00116,AttorneyID|WorkDate|HoursWorked,A030|2025-07-08|5.5,A008|2026-08-01|6,Medium,Attorney A008 has more than 16 total hours on 2026-08-01.
DEF0139,DQ010,TimeEntries,118,TE00117,AttorneyID|WorkDate|HoursWorked,A020|2026-01-21|5.5,A009|2026-08-01|6,Medium,Attorney A009 has more than 16 total hours on 2026-08-01.
DEF0140,DQ010,TimeEntries,119,TE00118,AttorneyID|WorkDate|HoursWorked,A004|2024-09-26|1,A009|2026-08-01|6,Medium,Attorney A009 has more than 16 total hours on 2026-08-01.
DEF0141,DQ010,TimeEntries,120,TE00119,AttorneyID|WorkDate|HoursWorked,A016|2025-06-23|7,A009|2026-08-01|6,Medium,Attorney A009 has more than 16 total hours on 2026-08-01.
DEF0142,DQ010,TimeEntries,121,TE00120,AttorneyID|WorkDate|HoursWorked,A007|2024-02-11|5.5,A010|2026-08-01|6,Medium,Attorney A010 has more than 16 total hours on 2026-08-01.
DEF0143,DQ010,TimeEntries,122,TE00121,AttorneyID|WorkDate|HoursWorked,A018|2024-11-10|6,A010|2026-08-01|6,Medium,Attorney A010 has more than 16 total hours on 2026-08-01.
DEF0144,DQ010,TimeEntries,123,TE00122,AttorneyID|WorkDate|HoursWorked,A024|2025-08-25|6,A010|2026-08-01|6,Medium,Attorney A010 has more than 16 total hours on 2026-08-01.
DEF0145,DQ010,TimeEntries,124,TE00123,AttorneyID|WorkDate|HoursWorked,A030|2023-06-28|3,A011|2026-08-01|6,Medium,Attorney A011 has more than 16 total hours on 2026-08-01.
DEF0146,DQ010,TimeEntries,125,TE00124,AttorneyID|WorkDate|HoursWorked,A017|2026-03-01|6.5,A011|2026-08-01|6,Medium,Attorney A011 has more than 16 total hours on 2026-08-01.
DEF0147,DQ010,TimeEntries,126,TE00125,AttorneyID|WorkDate|HoursWorked,A016|2025-04-06|3,A011|2026-08-01|6,Medium,Attorney A011 has more than 16 total hours on 2026-08-01.
DEF0148,DQ010,TimeEntries,127,TE00126,AttorneyID|WorkDate|HoursWorked,A021|2024-03-15|3,A012|2026-08-01|6,Medium,Attorney A012 has more than 16 total hours on 2026-08-01.
DEF0149,DQ010,TimeEntries,128,TE00127,AttorneyID|WorkDate|HoursWorked,A034|2023-07-13|5.5,A012|2026-08-01|6,Medium,Attorney A012 has more than 16 total hours on 2026-08-01.
DEF0150,DQ010,TimeEntries,129,TE00128,AttorneyID|WorkDate|HoursWorked,A004|2023-10-26|1.5,A012|2026-08-01|6,Medium,Attorney A012 has more than 16 total hours on 2026-08-01.
DEF0151,DQ010,TimeEntries,130,TE00129,AttorneyID|WorkDate|HoursWorked,A033|2026-01-10|6,A013|2026-08-01|6,Medium,Attorney A013 has more than 16 total hours on 2026-08-01.
DEF0152,DQ010,TimeEntries,131,TE00130,AttorneyID|WorkDate|HoursWorked,A002|2026-04-13|3,A013|2026-08-01|6,Medium,Attorney A013 has more than 16 total hours on 2026-08-01.
DEF0153,DQ010,TimeEntries,132,TE00131,AttorneyID|WorkDate|HoursWorked,A019|2026-03-14|5.5,A013|2026-08-01|6,Medium,Attorney A013 has more than 16 total hours on 2026-08-01.
DEF0154,DQ010,TimeEntries,133,TE00132,AttorneyID|WorkDate|HoursWorked,A002|2024-05-27|7,A014|2026-08-01|6,Medium,Attorney A014 has more than 16 total hours on 2026-08-01.
DEF0155,DQ010,TimeEntries,134,TE00133,AttorneyID|WorkDate|HoursWorked,A036|2025-06-19|3.5,A014|2026-08-01|6,Medium,Attorney A014 has more than 16 total hours on 2026-08-01.
DEF0156,DQ010,TimeEntries,135,TE00134,AttorneyID|WorkDate|HoursWorked,A025|2026-07-19|7,A014|2026-08-01|6,Medium,Attorney A014 has more than 16 total hours on 2026-08-01.
DEF0157,DQ010,TimeEntries,136,TE00135,AttorneyID|WorkDate|HoursWorked,A028|2024-11-01|5,A015|2026-08-01|6,Medium,Attorney A015 has more than 16 total hours on 2026-08-01.
DEF0158,DQ010,TimeEntries,137,TE00136,AttorneyID|WorkDate|HoursWorked,A018|2025-12-16|7.5,A015|2026-08-01|6,Medium,Attorney A015 has more than 16 total hours on 2026-08-01.
DEF0159,DQ010,TimeEntries,138,TE00137,AttorneyID|WorkDate|HoursWorked,A025|2025-12-26|0.5,A015|2026-08-01|6,Medium,Attorney A015 has more than 16 total hours on 2026-08-01.
DEF0160,DQ010,TimeEntries,139,TE00138,AttorneyID|WorkDate|HoursWorked,A008|2024-08-27|7,A016|2026-08-01|6,Medium,Attorney A016 has more than 16 total hours on 2026-08-01.
DEF0161,DQ010,TimeEntries,140,TE00139,AttorneyID|WorkDate|HoursWorked,A021|2026-05-05|0.5,A016|2026-08-01|6,Medium,Attorney A016 has more than 16 total hours on 2026-08-01.
DEF0162,DQ010,TimeEntries,141,TE00140,AttorneyID|WorkDate|HoursWorked,A008|2026-07-23|0.5,A016|2026-08-01|6,Medium,Attorney A016 has more than 16 total hours on 2026-08-01.
DEF0163,DQ010,TimeEntries,142,TE00141,AttorneyID|WorkDate|HoursWorked,A037|2023-10-01|7,A007|2026-08-02|6,Medium,Attorney A007 has more than 16 total hours on 2026-08-02.
DEF0164,DQ010,TimeEntries,143,TE00142,AttorneyID|WorkDate|HoursWorked,A020|2024-08-05|3.5,A007|2026-08-02|6,Medium,Attorney A007 has more than 16 total hours on 2026-08-02.
DEF0165,DQ010,TimeEntries,144,TE00143,AttorneyID|WorkDate|HoursWorked,A018|2025-04-18|4.5,A007|2026-08-02|6,Medium,Attorney A007 has more than 16 total hours on 2026-08-02.
DEF0166,DQ010,TimeEntries,145,TE00144,AttorneyID|WorkDate|HoursWorked,A002|2026-05-29|7,A008|2026-08-02|6,Medium,Attorney A008 has more than 16 total hours on 2026-08-02.
DEF0167,DQ010,TimeEntries,146,TE00145,AttorneyID|WorkDate|HoursWorked,A028|2025-05-30|7,A008|2026-08-02|6,Medium,Attorney A008 has more than 16 total hours on 2026-08-02.
DEF0168,DQ010,TimeEntries,147,TE00146,AttorneyID|WorkDate|HoursWorked,A032|2025-07-30|7,A008|2026-08-02|6,Medium,Attorney A008 has more than 16 total hours on 2026-08-02.
DEF0169,DQ010,TimeEntries,148,TE00147,AttorneyID|WorkDate|HoursWorked,A029|2026-01-15|5.5,A009|2026-08-02|6,Medium,Attorney A009 has more than 16 total hours on 2026-08-02.
DEF0170,DQ010,TimeEntries,149,TE00148,AttorneyID|WorkDate|HoursWorked,A026|2025-08-09|0.5,A009|2026-08-02|6,Medium,Attorney A009 has more than 16 total hours on 2026-08-02.
DEF0171,DQ010,TimeEntries,150,TE00149,AttorneyID|WorkDate|HoursWorked,A004|2026-04-16|2.5,A009|2026-08-02|6,Medium,Attorney A009 has more than 16 total hours on 2026-08-02.
DEF0172,DQ010,TimeEntries,151,TE00150,AttorneyID|WorkDate|HoursWorked,A029|2026-07-07|4.5,A010|2026-08-02|6,Medium,Attorney A010 has more than 16 total hours on 2026-08-02.
DEF0173,DQ010,TimeEntries,152,TE00151,AttorneyID|WorkDate|HoursWorked,A037|2026-04-23|6.5,A010|2026-08-02|6,Medium,Attorney A010 has more than 16 total hours on 2026-08-02.
DEF0174,DQ010,TimeEntries,153,TE00152,AttorneyID|WorkDate|HoursWorked,A003|2024-07-09|8,A010|2026-08-02|6,Medium,Attorney A010 has more than 16 total hours on 2026-08-02.
DEF0175,DQ010,TimeEntries,154,TE00153,AttorneyID|WorkDate|HoursWorked,A002|2026-07-02|2.5,A011|2026-08-02|6,Medium,Attorney A011 has more than 16 total hours on 2026-08-02.
DEF0176,DQ010,TimeEntries,155,TE00154,AttorneyID|WorkDate|HoursWorked,A002|2025-05-28|7.5,A011|2026-08-02|6,Medium,Attorney A011 has more than 16 total hours on 2026-08-02.
DEF0177,DQ010,TimeEntries,156,TE00155,AttorneyID|WorkDate|HoursWorked,A018|2023-08-29|5,A011|2026-08-02|6,Medium,Attorney A011 has more than 16 total hours on 2026-08-02.
DEF0178,DQ010,TimeEntries,157,TE00156,AttorneyID|WorkDate|HoursWorked,A013|2024-10-07|5,A012|2026-08-02|6,Medium,Attorney A012 has more than 16 total hours on 2026-08-02.
DEF0179,DQ010,TimeEntries,158,TE00157,AttorneyID|WorkDate|HoursWorked,A018|2023-04-17|2.5,A012|2026-08-02|6,Medium,Attorney A012 has more than 16 total hours on 2026-08-02.
DEF0180,DQ010,TimeEntries,159,TE00158,AttorneyID|WorkDate|HoursWorked,A021|2025-10-22|4,A012|2026-08-02|6,Medium,Attorney A012 has more than 16 total hours on 2026-08-02.
DEF0181,DQ010,TimeEntries,160,TE00159,AttorneyID|WorkDate|HoursWorked,A010|2026-04-23|4.5,A013|2026-08-02|6,Medium,Attorney A013 has more than 16 total hours on 2026-08-02.
DEF0182,DQ010,TimeEntries,161,TE00160,AttorneyID|WorkDate|HoursWorked,A022|2024-11-27|1.5,A013|2026-08-02|6,Medium,Attorney A013 has more than 16 total hours on 2026-08-02.
DEF0183,DQ010,TimeEntries,162,TE00161,AttorneyID|WorkDate|HoursWorked,A003|2025-06-03|7.5,A013|2026-08-02|6,Medium,Attorney A013 has more than 16 total hours on 2026-08-02.
DEF0184,DQ010,TimeEntries,163,TE00162,AttorneyID|WorkDate|HoursWorked,A004|2023-09-14|2,A014|2026-08-02|6,Medium,Attorney A014 has more than 16 total hours on 2026-08-02.
DEF0185,DQ010,TimeEntries,164,TE00163,AttorneyID|WorkDate|HoursWorked,A016|2025-08-23|8,A014|2026-08-02|6,Medium,Attorney A014 has more than 16 total hours on 2026-08-02.
DEF0186,DQ010,TimeEntries,165,TE00164,AttorneyID|WorkDate|HoursWorked,A037|2025-09-08|1.5,A014|2026-08-02|6,Medium,Attorney A014 has more than 16 total hours on 2026-08-02.
DEF0187,DQ010,TimeEntries,166,TE00165,AttorneyID|WorkDate|HoursWorked,A005|2025-07-31|0.5,A015|2026-08-02|6,Medium,Attorney A015 has more than 16 total hours on 2026-08-02.
DEF0188,DQ010,TimeEntries,167,TE00166,AttorneyID|WorkDate|HoursWorked,A004|2026-01-14|5.5,A015|2026-08-02|6,Medium,Attorney A015 has more than 16 total hours on 2026-08-02.
DEF0189,DQ010,TimeEntries,168,TE00167,AttorneyID|WorkDate|HoursWorked,A017|2024-02-15|4,A015|2026-08-02|6,Medium,Attorney A015 has more than 16 total hours on 2026-08-02.
DEF0190,DQ010,TimeEntries,169,TE00168,AttorneyID|WorkDate|HoursWorked,A031|2026-03-13|2,A016|2026-08-02|6,Medium,Attorney A016 has more than 16 total hours on 2026-08-02.
DEF0191,DQ010,TimeEntries,170,TE00169,AttorneyID|WorkDate|HoursWorked,A008|2023-08-06|1.5,A016|2026-08-02|6,Medium,Attorney A016 has more than 16 total hours on 2026-08-02.
DEF0192,DQ010,TimeEntries,171,TE00170,AttorneyID|WorkDate|HoursWorked,A010|2024-04-28|6,A016|2026-08-02|6,Medium,Attorney A016 has more than 16 total hours on 2026-08-02.
