InvoiceID,MatterID,InvoiceDate,InvoiceAmount,InvoiceStatus,PaymentDate
INV0070,M0012,2025-10-27,29800.36,Draft,
INV0071,M0128,2024-09-05,60800.49,Paid,2024-09-16
INV0072,M0093,2023-09-15,59900.42,Submitted,
INV0073,M0045,2026-04-01,5100.09,Paid,2026-04-11
INV0074,M0001,2025-03-06,51200.35,Draft,
INV0075,M0104,2026-02-25,3400.37,Submitted,
INV0076,M0095,2024-04-12,39500.16,Submitted,
INV0077,M0126,2025-10-17,34200.46,Draft,
INV0078,M0024,2024-10-24,14200.02,Submitted,
INV0079,M0097,2023-11-16,25300.23,Draft,
INV0080,M0143,2025-10-13,28800.48,Submitted,
INV0081,M0143,2025-07-17,3700.22,Submitted,
INV0082,M0056,2025-09-11,30700.31,Overdue,
INV0083,M0005,2024-04-16,41400.29,Draft,
INV0084,M0038,2023-05-12,73100.16,Draft,
INV0085,M0122,2025-08-13,8400.27,Draft,
INV0086,M0040,2025-05-22,52900.05,Paid,2025-08-04
INV0087,M0139,2023-04-13,13700.59,Paid,2023-05-25
INV0088,M0142,2025-06-10,36000.84,Overdue,
INV0089,M0109,2025-09-02,51400.6,Overdue,
INV0090,M0014,2026-05-11,20400.36,Submitted,
INV0091,M0136,2025-11-15,38200.05,Paid,2026-01-12
INV0092,M0114,2026-02-19,61300.13,Submitted,
INV0093,M0138,2023-11-22,4900.86,Overdue,
INV0094,M0139,2023-12-23,1800.32,Paid,2024-01-31
INV0095,M0122,2023-07-18,31100.92,Paid,2023-08-24
INV0096,M0070,2026-03-21,53500.56,Paid,2026-04-04
INV0097,M0060,2026-07-02,51500.55,Draft,
INV0098,M0043,2023-08-06,11900.5,Draft,
INV0099,M0094,2026-07-30,7900.14,Paid,2026-07-31
INV0100,M0131,2025-12-01,29900.89,Submitted,
INV0101,M0094,2026-01-24,14400.74,Submitted,
INV0102,M0044,2025-12-14,61600.97,Paid,2026-02-23
INV0103,M0014,2026-04-27,12800.13,Paid,2026-07-04
INV0104,M0056,2026-04-21,21500.24,Draft,
INV0105,M0033,2025-04-18,53500.57,Draft,
INV0106,M0040,2025-02-23,66500.81,Submitted,
INV0107,M0023,2024-08-04,7000.67,Draft,
INV0108,M0097,2023-09-28,40600.08,Submitted,
INV0109,M0093,2024-08-21,13600,Submitted,
INV0110,M0120,2026-01-31,13900.8,Submitted,
INV0111,M0100,2023-12-30,41400.5,Overdue,
INV0112,M0065,2026-01-10,4000.53,Draft,
INV0113,M0057,2024-08-02,19200.65,Overdue,
INV0114,M0012,2024-11-08,50300.38,Overdue,
INV0115,M0112,2026-01-16,15400.83,Paid,2026-01-24
INV0116,M0073,2025-10-21,37900.44,Submitted,
INV0117,M0061,2024-08-13,8700.96,Overdue,
INV0118,M0066,2026-01-26,30400.4,Submitted,
INV0119,M0111,2026-04-02,70100.37,Overdue,
INV0120,M0132,2025-10-26,17800.35,Paid,2025-11-25
INV0121,M0032,2026-07-10,50200.33,Paid,2026-07-31
INV0122,M0103,2025-10-19,54200.4,Paid,2025-11-08
INV0123,M0056,2025-01-17,55900.38,Paid,2025-02-01
INV0124,M0123,2025-11-19,10600.93,Overdue,
INV0125,M0148,2024-12-19,40900.72,Draft,
INV0126,M0133,2024-08-10,56600.84,Overdue,
INV0127,M0003,2026-01-02,60400.98,Draft,
INV0128,M0038,2023-06-10,60900.63,Draft,
INV0129,M0037,2026-02-13,71300.19,Paid,2026-03-03
INV0130,M0137,2024-09-18,14200.83,Submitted,
INV0131,M0017,2023-08-21,73000.35,Submitted,
INV0132,M0032,2026-03-25,36500.43,Paid,2026-04-17
INV0133,M0060,2024-03-27,7600.78,Draft,
INV0134,M0094,2025-07-23,35800.08,Submitted,
INV0135,M0128,2024-07-21,29200.93,Paid,2024-08-17
INV0136,M0016,2025-02-17,18000.64,Draft,
INV0137,M0037,2025-12-18,42400.29,Overdue,
INV0138,M0120,2026-02-13,53400.67,Paid,2026-03-22
INV0139,M0047,2024-12-09,68300.37,Paid,2024-12-27
INV0140,M0031,2024-08-26,38200.53,Draft,
INV0141,M0122,2025-02-24,69500.73,Draft,
INV0142,M0055,2025-03-22,58100.25,Paid,2025-06-04
INV0143,M0050,2026-03-14,6300.54,Paid,2026-05-28
INV0144,M0015,2025-11-23,47300.44,Overdue,
INV0145,M0089,2025-09-27,5200.54,Overdue,
INV0146,M0125,2026-04-26,15900.07,Overdue,
INV0147,M0059,2023-06-26,48200.38,Submitted,
INV0148,M0045,2025-09-09,70300.12,Paid,2025-11-04
INV0149,M0014,2026-03-19,40600.04,Paid,2026-05-26
INV0150,M0100,2024-04-24,53900.83,Submitted,
INV0151,M0124,2025-12-23,14500.88,Overdue,
INV0152,M0039,2024-02-08,59200.97,Submitted,
INV0153,M0052,2025-09-01,54200.37,Submitted,
INV0154,M0126,2026-06-22,47400.88,Paid,2026-07-31
INV0155,M0148,2025-03-25,56500.09,Overdue,
INV0156,M0048,2026-01-30,6000.3,Paid,2026-04-12
INV0157,M0033,2026-06-18,68800.45,Paid,2026-07-31
INV0158,M0026,2026-03-19,15700.25,Overdue,
INV0159,M0070,2026-02-16,37000.7,Draft,
INV0160,M0047,2025-02-12,71700.27,Overdue,
INV0161,M0090,2023-11-22,23800.48,Draft,
INV0162,M0086,2024-07-30,28800.31,Paid,2024-09-15
INV0163,M0105,2025-08-01,60300.23,Overdue,
INV0164,M0067,2023-06-12,9000.63,Overdue,
INV0165,M0128,2024-12-29,37100.52,Paid,2025-02-03
INV0166,M0029,2025-05-06,53400.62,Overdue,
INV0167,M0051,2026-05-02,51900.81,Draft,
INV0168,M0023,2026-06-27,42800.01,Paid,2026-07-30
INV0169,M0116,2025-05-28,9700.42,Overdue,
INV0170,M0132,2025-07-01,60200.83,Paid,2025-08-06
INV0171,M0082,2025-07-29,11800.68,Submitted,
INV0172,M0089,2025-08-12,43800.27,Paid,2025-10-17
INV0173,M0033,2026-05-26,13300.14,Paid,2026-06-14
INV0174,M0089,2025-11-30,62700.58,Submitted,
INV0175,M0021,2023-07-04,72800.11,Overdue,
INV0176,M0078,2024-06-23,72300.28,Draft,
INV0177,M0009,2024-08-17,46900.57,Paid,2024-09-22
INV0178,M0052,2026-05-01,6000.67,Overdue,
INV0179,M0100,2024-03-09,54000.15,Paid,2024-04-02
INV0180,M0057,2024-12-17,55600.01,Overdue,
INV0181,M0059,2023-05-18,45300.15,Submitted,
INV0182,M0134,2023-02-07,44200.75,Submitted,
INV0183,M0120,2025-12-01,16400.73,Submitted,
INV0184,M0125,2025-06-19,42200.28,Paid,2025-07-06
INV0185,M0060,2026-01-24,23100.27,Draft,
INV0186,M0146,2024-04-16,20500.06,Submitted,
INV0187,M0018,2026-05-11,2400.66,Submitted,
INV0188,M0084,2024-07-31,8200.55,Paid,2024-10-14
INV0189,M0072,2023-08-07,45100.79,Paid,2023-09-19
INV0190,M0018,2025-09-18,8600.88,Paid,2025-11-08
INV0191,M0028,2025-05-10,57400.77,Draft,
INV0192,M0126,2025-08-22,34800.02,Submitted,
INV0193,M0064,2023-10-06,22400.91,Submitted,
INV0194,M0121,2025-10-20,38700.96,Overdue,
INV0195,M0119,2023-12-22,56900.73,Paid,2024-01-28
INV0196,M0138,2024-01-10,4600.73,Draft,
INV0197,M0124,2025-05-06,20800.28,Paid,2025-05-15
INV0198,M0093,2025-01-16,5000.84,Overdue,
INV0199,M0128,2024-04-24,50000.09,Paid,2024-06-30
INV0200,M0125,2026-02-23,9400.7,Draft,
INV0201,M0046,2025-10-14,9100.44,Draft,
INV0202,M0097,2023-10-20,25000.63,Overdue,
INV0203,M0108,2025-05-20,74500,Submitted,
INV0204,M0057,2024-10-10,70300.92,Overdue,
INV0205,M0142,2024-09-13,38200.59,Submitted,
INV0206,M0121,2026-04-15,72100.35,Paid,2026-05-07
INV0207,M0121,2024-10-28,29700.09,Draft,
INV0208,M0012,2025-01-06,53300.47,Draft,
INV0209,M0059,2023-12-17,49400.14,Draft,
INV0210,M0142,2025-07-29,26600.81,Submitted,
INV0211,M0071,2025-09-16,72900.45,Draft,
INV0212,M0041,2026-01-04,67700.34,Paid,2026-01-30
INV0213,M0020,2026-01-07,61800.34,Draft,
INV0214,M0013,2025-04-06,48100.98,Draft,
INV0215,M0075,2024-08-06,54100.72,Submitted,
INV0216,M0150,2025-12-28,44200.73,Draft,
INV0217,M0118,2026-04-22,56200.54,Submitted,
INV0218,M0048,2026-04-09,65600.65,Draft,
INV0219,M0074,2026-04-30,32300.5,Draft,
INV0220,M0097,2024-01-02,38900.06,Draft,
INV0221,M0110,2025-12-27,12600.1,Paid,2026-02-10
INV0222,M0044,2026-03-26,11600.94,Submitted,
INV0223,M0098,2023-11-23,62200.17,Paid,2023-12-04
INV0224,M0043,2023-02-19,8800.7,Overdue,
INV0225,M0067,2023-05-23,49200.86,Paid,2023-07-27
INV0226,M0027,2024-03-09,16900.2,Paid,2024-03-23
INV0227,M0049,2023-08-22,23100.36,Draft,
INV0228,M0127,2024-01-31,67900.94,Draft,
INV0229,M0050,2025-08-20,49500.98,Draft,
INV0230,M0117,2023-03-29,6100.46,Draft,
INV0231,M0033,2025-04-11,37400.08,Paid,2025-05-21
INV0232,M0082,2026-01-19,33100.79,Overdue,
INV0233,M0054,2026-05-17,2800.74,Paid,2026-06-23
INV0234,M0055,2025-08-05,41400.75,Paid,2025-09-04
INV0235,M0063,2024-01-10,11600.8,Submitted,
INV0236,M0144,2025-11-09,54900.49,Draft,
INV0237,M0013,2026-06-01,14900.18,Submitted,
INV0238,M0029,2025-02-15,55400.1,Overdue,
INV0239,M0149,2024-12-05,30700.87,Submitted,
INV0240,M0020,2025-11-13,21000.16,Overdue,
INV0241,M0028,2025-07-15,21800.45,Paid,2025-08-09
INV0242,M0139,2023-11-13,13400.35,Paid,2024-01-18
INV0243,M0116,2024-06-03,61700.21,Overdue,
INV0244,M0029,2025-03-29,70000.55,Overdue,
INV0245,M0034,2025-12-11,63800.9,Submitted,
INV0246,M0101,2026-02-26,47200.01,Draft,
INV0247,M0145,2026-07-28,36400.57,Submitted,
INV0248,M0100,2023-04-02,9600.53,Submitted,
INV0249,M0089,2025-10-04,25300.73,Overdue,
INV0250,M0096,2025-09-17,30500.85,Overdue,
INV0251,M0076,2024-10-14,65900.53,Overdue,
INV0252,M0058,2024-05-07,17600.95,Paid,2024-06-03
INV0253,M0131,2024-09-25,13700.8,Overdue,
INV0254,M0108,2025-03-12,74300.19,Paid,2025-05-22
INV0255,M0137,2025-01-23,23700.3,Submitted,
INV0256,M0096,2026-02-20,52800.25,Submitted,
INV0257,M0120,2026-07-06,35400.33,Paid,2026-07-31
INV0258,M0143,2025-08-17,29300.55,Submitted,
INV0259,M0077,2023-06-21,7100.2,Submitted,
INV0260,M0121,2025-08-28,67600.47,Draft,
INV0261,M0138,2024-01-17,73400.52,Overdue,
INV0262,M0142,2025-09-16,28400.43,Overdue,
INV0263,M0003,2024-05-20,7600.25,Draft,
INV0264,M0019,2026-01-04,60400.99,Submitted,
INV0265,M0142,2026-05-03,61700.55,Paid,2026-05-28
INV0266,M0110,2026-01-29,43000.13,Overdue,
INV0267,M0148,2025-01-06,16500.51,Submitted,
INV0268,M0098,2023-11-12,3500.5,Submitted,
INV0269,M0001,2026-02-17,72700.66,Submitted,
INV0270,M0003,2023-11-28,9500.38,Draft,
INV0271,M0128,2024-06-01,67900.04,Overdue,
INV0272,M0091,2025-03-04,54500.93,Submitted,
INV0273,M0035,2026-04-21,71300.98,Draft,
INV0274,M0033,2025-06-07,61800.38,Draft,
INV0275,M0016,2023-03-28,58400.18,Submitted,
INV0276,M0033,2026-07-24,41100.54,Paid,2026-07-31
INV0277,M0028,2025-07-31,73000.39,Submitted,
INV0278,M0106,2024-12-09,45100.55,Submitted,
INV0279,M0131,2025-01-03,20200.8,Paid,2025-02-04
INV0280,M0088,2023-06-28,49700.5,Overdue,
INV0281,M0045,2026-07-24,74500.31,Submitted,
INV0282,M0016,2024-05-05,4700.77,Draft,
INV0283,M0077,2023-09-04,7500.73,Paid,2023-11-15
INV0284,M0021,2025-12-05,8500.57,Paid,2026-01-24
INV0285,M0047,2025-04-15,36800.06,Paid,2025-05-13
INV0286,M0021,2025-10-26,28000.46,Submitted,
INV0287,M0014,2026-04-08,59300.34,Paid,2026-04-19
INV0288,M0135,2026-03-25,4100.85,Paid,2026-04-24
INV0289,M0088,2023-10-08,68300.97,Draft,
INV0290,M0029,2025-03-02,7500.76,Draft,
INV0291,M0038,2023-10-05,15600.1,Paid,2023-10-23
INV0292,M0041,2025-11-25,10400.75,Paid,2025-12-19
INV0293,M0085,2026-07-17,3800.89,Submitted,
INV0294,M0030,2023-10-15,33600.49,Overdue,
INV0295,M0101,2025-07-23,33300.44,Paid,2025-08-27
INV0296,M0013,2025-07-11,66200.9,Paid,2025-09-11
INV0297,M0045,2026-03-31,53300.48,Paid,2026-06-11
INV0298,M0051,2025-07-31,43900.58,Overdue,
INV0299,M0068,2024-03-25,70500.57,Draft,
INV0300,M0058,2024-01-18,43600.55,Paid,2024-02-20
INV0301,M0104,2026-01-28,29200.04,Submitted,
INV0302,M0070,2026-05-12,2300.76,Overdue,
INV0303,M0050,2025-09-29,14100.09,Submitted,
INV0304,M0087,2026-05-03,17500.77,Draft,
INV0305,M0145,2026-03-17,56600.68,Submitted,
INV0306,M0132,2026-04-17,62700.42,Paid,2026-05-16
INV0307,M0012,2026-05-17,55800.39,Submitted,
INV0308,M0043,2023-03-02,27600.87,Submitted,
INV0309,M0150,2025-08-19,49000.83,Paid,2025-10-17
INV0310,M0085,2026-05-31,57900.7,Paid,2026-07-31
INV0311,M0097,2023-09-22,9500.88,Overdue,
INV0312,M0024,2026-04-22,30800,Submitted,
INV0313,M0109,2025-09-05,19900.52,Overdue,
INV0314,M0061,2024-04-06,51500.56,Paid,2024-05-13
INV0315,M0109,2025-05-13,18200.64,Draft,
INV0316,M0052,2026-02-24,22200.62,Paid,2026-04-13
INV0317,M0071,2026-05-23,43000.96,Overdue,
INV0318,M0081,2025-05-31,53400.56,Submitted,
INV0319,M0139,2023-10-28,40600.66,Overdue,
INV0320,M0111,2026-06-29,32200.49,Submitted,
INV0321,M0078,2023-11-06,46600.42,Submitted,
INV0322,M0052,2024-06-07,66600.6,Draft,
INV0323,M0132,2025-11-05,28000.52,Submitted,
INV0324,M0083,2024-03-15,4400.81,Draft,
INV0325,M0007,2025-08-01,72500.12,Overdue,
INV0326,M0118,2026-03-28,9000.21,Paid,2026-06-06
INV0327,M0094,2025-07-11,71900.02,Submitted,
INV0328,M0048,2026-03-23,14000.3,Draft,
INV0329,M0077,2023-03-14,11000.57,Paid,2023-04-12
INV0330,M0106,2024-12-27,55800.92,Submitted,
INV0331,M0061,2023-08-11,58500.34,Draft,
INV0332,M0113,2026-07-10,72400.47,Submitted,
INV0333,M0094,2025-11-17,14200.13,Draft,
INV0334,M0029,2025-05-08,2800.13,Submitted,
INV0335,M0007,2025-03-28,30600.84,Paid,2025-04-20
INV0336,M0027,2024-01-31,46800.61,Paid,2024-03-07
INV0337,M0062,2024-11-29,46100.55,Overdue,
INV0338,M0078,2024-02-28,53200.2,Submitted,
INV0339,M0137,2024-07-27,69600.81,Draft,
INV0340,M0019,2026-07-30,8200.73,Overdue,
INV0341,M0015,2026-07-22,4300.15,Submitted,
INV0342,M0024,2026-01-12,37800.2,Paid,2026-03-24
INV0343,M0075,2025-05-14,38900.07,Draft,
INV0344,M0051,2025-06-06,34000.79,Overdue,
INV0345,M0089,2025-08-05,11500.7,Submitted,
INV0346,M0003,2023-06-30,18700.87,Submitted,
INV0347,M0113,2025-09-27,43200.63,Submitted,
INV0348,M0118,2026-07-02,44400.63,Draft,
INV0349,M0121,2024-09-05,71000.37,Draft,
INV0350,M0056,2026-03-12,29700.99,Submitted,
INV0351,M0040,2025-09-20,64800.5,Submitted,
INV0352,M0082,2025-12-15,33400.66,Submitted,
INV0353,M0047,2025-04-29,1800.83,Draft,
INV0354,M0091,2025-01-26,3600.79,Draft,
INV0355,M0007,2025-09-07,56900.51,Paid,2025-09-19
INV0356,M0016,2023-06-01,70100.94,Submitted,
INV0357,M0119,2024-03-27,74100,Submitted,
INV0358,M0140,2025-11-28,1300.91,Submitted,
INV0359,M0009,2023-08-24,15500.85,Draft,
INV0360,M0005,2025-03-02,43700.29,Paid,2025-04-28
INV0361,M0075,2025-06-12,44500.04,Draft,
INV0362,M0074,2026-04-03,21600.5,Submitted,
INV0363,M0106,2025-05-22,9500.85,Draft,
INV0364,M0063,2025-03-10,11000.41,Overdue,
INV0365,M0093,2025-06-28,40700.69,Submitted,
INV0366,M0051,2025-08-13,74700.01,Submitted,
INV0367,M0146,2024-08-16,72900.07,Submitted,
INV0368,M0084,2025-11-04,69900.05,Overdue,
INV0369,M0096,2026-06-21,21000.61,Draft,
INV0370,M0083,2024-03-23,16300.1,Overdue,
INV0371,M0119,2023-12-12,65900.8,Paid,2024-02-01
INV0372,M0105,2026-01-27,24700.67,Paid,2026-02-06
INV0373,M0078,2024-07-27,36900.26,Paid,2024-08-13
INV0374,M0013,2025-10-31,11600.2,Submitted,
INV0375,M0072,2025-11-26,56800.85,Paid,2026-01-30
INV0376,M0099,2024-12-21,32300.99,Overdue,
INV0377,M0141,2026-04-21,22000.99,Overdue,
INV0378,M0026,2026-04-05,25800.23,Overdue,
INV0379,M0045,2026-03-29,57100.09,Submitted,
INV0380,M0060,2025-01-27,44700.9,Paid,2025-03-23
INV0381,M0092,2026-06-21,23200.61,Draft,
INV0382,M0058,2024-04-27,56100.23,Overdue,
INV0383,M0041,2026-01-19,14100.71,Submitted,
INV0384,M0110,2026-05-06,23300.25,Draft,
INV0385,M0104,2025-11-16,57600.69,Submitted,
INV0386,M0134,2024-11-19,29500.32,Overdue,
INV0387,M0144,2026-05-30,17000.32,Overdue,
INV0388,M0018,2025-02-05,24100.77,Draft,
INV0389,M0083,2025-03-14,52100.9,Submitted,
INV0390,M0072,2024-01-31,60700.49,Paid,2024-03-08
INV0391,M0082,2024-09-12,74200.14,Paid,2024-09-28
INV0392,M0104,2025-07-17,7500.21,Paid,2025-08-24
INV0393,M0051,2024-11-30,8900.41,Paid,2025-01-01
INV0394,M0115,2025-09-14,13600.65,Submitted,
INV0395,M0089,2025-07-07,65900.45,Draft,
INV0396,M0137,2024-12-30,39800.58,Overdue,
INV0397,M0095,2023-08-26,23100.29,Paid,2023-10-17
INV0398,M0103,2024-11-04,11400.9,Submitted,
INV0399,M0007,2025-04-12,49400.56,Overdue,
INV0400,M0054,2025-03-11,47000.64,Draft,
INV0401,M0043,2026-03-26,37100.52,Paid,2026-06-06
INV0402,M0072,2025-09-06,68100.25,Overdue,
INV0403,M0145,2025-12-20,45000.8,Overdue,
INV0404,M0096,2026-02-11,12800.11,Submitted,
INV0405,M0033,2026-01-19,5300.75,Submitted,
INV0406,M0133,2026-04-29,40700.3,Submitted,
INV0407,M0032,2026-02-14,5800.37,Overdue,
INV0408,M0108,2025-04-17,64100.55,Paid,2025-05-10
INV0409,M0094,2025-12-03,22300.91,Submitted,
INV0410,M0063,2025-11-14,28900.92,Overdue,
INV0411,M0118,2026-07-06,57900.82,Paid,2026-07-31
INV0412,M0127,2023-05-03,17900.37,Draft,
INV0413,M0018,2025-05-15,37000.1,Draft,
INV0414,M0145,2025-11-06,61900.41,Submitted,
INV0415,M0033,2025-08-19,48700.01,Submitted,
INV0416,M0077,2023-11-13,26200.35,Submitted,
INV0417,M0129,2023-09-01,21200.47,Overdue,
INV0418,M0133,2025-07-06,34300.89,Submitted,
INV0419,M0074,2026-03-13,45600.09,Overdue,
INV0420,M0048,2026-04-29,35800.52,Draft,
INV0421,M0122,2025-11-28,31800.94,Overdue,
INV0422,M0135,2025-08-13,32700.58,Draft,
INV0423,M0070,2026-07-27,67600.41,Submitted,
INV0424,M0130,2026-06-17,70600.43,Draft,
INV0425,M0123,2025-12-16,38500.8,Paid,2026-02-07
INV0426,M0009,2023-08-20,33000.11,Draft,
INV0427,M0007,2025-02-16,30000.12,Overdue,
INV0428,M0098,2023-09-26,69400.19,Draft,
INV0429,M0011,2026-02-02,59900.75,Draft,
INV0430,M0134,2023-05-30,43900.7,Submitted,
INV0431,M0081,2026-01-29,51800.74,Submitted,
INV0432,M0138,2024-03-04,20500.43,Overdue,
INV0433,M0092,2024-10-07,67000.26,Overdue,
INV0434,M0129,2023-10-31,50200.85,Submitted,
INV0435,M0022,2025-11-06,29500.39,Overdue,
INV0436,M0067,2023-03-26,4600.71,Submitted,
INV0437,M0086,2026-06-06,53400.04,Draft,
INV0438,M0136,2026-02-09,26500.79,Paid,2026-03-01
INV0439,M0053,2026-04-20,10400.01,Submitted,
INV0440,M0139,2023-05-20,42300.22,Submitted,
INV0441,M0122,2024-12-19,25500.57,Paid,2025-02-21
INV0442,M0011,2024-09-10,4400.18,Overdue,
INV0443,M0121,2024-09-22,62700.62,Overdue,
INV0444,M0044,2025-09-09,47000.94,Paid,2025-10-16
INV0445,M0128,2025-03-29,7900.93,Overdue,
INV0446,M0063,2025-07-03,3400.31,Overdue,
INV0447,M0088,2024-02-11,43000.35,Paid,2024-04-11
INV0448,M0003,2025-06-01,29900.6,Overdue,
INV0449,M0019,2026-04-25,57800.87,Submitted,
INV0450,M0081,2025-10-31,66000.17,Submitted,
INV0451,M0147,2023-06-10,27800.35,Draft,
INV0452,M0125,2024-08-04,37700.46,Overdue,
INV0453,M0015,2026-07-27,42300.83,Draft,
INV0454,M0045,2026-04-14,72300.49,Draft,
INV0455,M0011,2025-04-08,33000.07,Draft,
INV0456,M0112,2025-11-29,9000.44,Draft,
INV0457,M0113,2025-08-09,14900.43,Overdue,
INV0458,M0082,2025-02-22,39500.72,Overdue,
INV0459,M0018,2025-09-16,35300.74,Overdue,
INV0460,M0125,2025-01-02,74600.89,Paid,2025-02-10
INV0461,M0031,2025-09-07,26800.48,Submitted,
INV0462,M0016,2023-12-23,46600.87,Overdue,
INV0463,M0132,2026-03-01,63900.77,Paid,2026-03-18
INV0464,M0120,2026-04-27,74600.04,Draft,
INV0465,M0062,2024-07-20,75000.11,Draft,
INV0466,M0037,2026-01-01,63000.54,Draft,
INV0467,M0129,2023-09-27,52500.33,Draft,
INV0468,M0080,2025-03-29,74300.63,Paid,2025-05-29
INV0469,M0060,2025-01-04,32200.05,Draft,
INV0470,M0076,2024-09-14,18600.84,Overdue,
INV0471,M0013,2026-03-03,53600.9,Draft,
INV0472,M0125,2024-07-06,70900.34,Paid,2024-08-10
INV0473,M0053,2026-04-07,72000.56,Paid,2026-06-18
INV0474,M0015,2025-08-31,14300.79,Submitted,
INV0475,M0014,2025-12-31,60600.61,Overdue,
INV0476,M0040,2025-07-18,50600.25,Overdue,
INV0477,M0023,2024-08-12,66500.66,Overdue,
INV0478,M0018,2025-03-24,39700.89,Submitted,
INV0479,M0028,2025-07-01,21100.72,Paid,2025-08-15
INV0480,M0043,2024-10-23,22500.53,Overdue,
INV0481,M0070,2026-01-11,9000.6,Paid,2026-02-02
INV0482,M0046,2025-07-07,36600.61,Paid,2025-08-29
INV0483,M0124,2026-01-01,9100.01,Draft,
INV0484,M0114,2025-09-14,24500.29,Paid,2025-11-17
INV0485,M0111,2026-06-19,46300.75,Paid,2026-07-31
INV0486,M0134,2024-06-08,13000.42,Submitted,
INV0487,M0150,2025-11-06,65900.54,Draft,
INV0488,M0112,2025-12-27,72800.61,Paid,2026-02-16
INV0489,M0097,2024-02-15,1400.2,Paid,2024-03-21
INV0490,M0081,2025-08-26,57400.24,Submitted,
INV0491,M0003,2026-02-04,34100.77,Submitted,
INV0492,M0136,2025-11-23,5300.48,Draft,
INV0493,M0096,2025-11-08,47200.28,Submitted,
INV0494,M0024,2024-11-14,75000.53,Submitted,
INV0495,M0148,2025-02-23,59300.05,Submitted,
INV0496,M0049,2023-07-31,17900.64,Submitted,
