TimeEntryID,MatterID,AttorneyID,WorkDate,HoursWorked,BillingRate,BillableAmount,Description
TE00032,M0132,A016,2026-03-20,30,650,19500,Drafted correspondence and legal memorandum
TE00033,M0028,A025,2025-06-02,0,750,0,Performed legal research
TE00034,M0088,A024,2023-08-05,-1,450,-450,Prepared for witness interview
TE00035,M0110,A010,2026-01-01,25,750,18750,Reviewed case documents and prepared analysis
TE00036,M0012,A006,2024-09-28,30,375,11250,Performed legal research
TE00037,M0069,A037,2025-11-16,0,675,0,Reviewed billing and budget status
TE00038,M0099,A008,2025-02-19,-1,575,-575,Reviewed discovery materials
TE00039,M0014,A036,2025-12-13,25,375,9375,Coordinated matter planning with client team
TE00040,M0139,A025,2023-05-26,30,750,22500,Prepared matter status update
TE00041,MX0001,A003,2024-10-18,2,425,850,Prepared for witness interview
TE00042,MX0002,A009,2024-10-20,8,450,3600,Reviewed discovery materials
TE00043,MX0003,A025,2026-01-18,2.5,750,1875,Reviewed case documents and prepared analysis
TE00044,MX0004,A002,2026-04-19,2,550,1100,Prepared matter status update
TE00045,MX0005,A004,2026-01-24,5,725,3625,Prepared matter status update
TE00046,MX0006,A006,2025-10-28,7.5,375,2812.5,Coordinated matter planning with client team
TE00047,MX0007,A016,2024-08-30,3,650,1950,Prepared for witness interview
TE00048,MX0008,A012,2025-08-26,6.5,400,2600,Reviewed case documents and prepared analysis
TE00049,MX0009,A029,2025-12-15,3.5,600,2100,Coordinated matter planning with client team
TE00050,MX0010,A016,2025-11-16,5.5,650,3575,Reviewed discovery materials
TE00051,MX0011,A012,2023-12-04,2,400,800,Reviewed discovery materials
TE00052,MX0012,A004,2025-12-01,3.5,725,2537.5,Analyzed regulatory and compliance requirements
TE00053,MX0013,A005,2025-09-23,2.5,625,1562.5,Prepared matter status update
TE00054,MX0014,A002,2025-09-27,0.5,550,275,Reviewed discovery materials
TE00055,MX0015,A035,2025-12-09,3.5,625,2187.5,Prepared matter status update
TE00056,MX0016,A003,2023-05-28,6,425,2550,Reviewed discovery materials
TE00057,MX0017,A034,2023-03-01,0.5,725,362.5,Coordinated matter planning with client team
TE00058,MX0018,A017,2025-02-15,5.5,550,3025,Reviewed billing and budget status
TE00059,MX0019,A016,2024-12-14,7.5,650,4875,Reviewed case documents and prepared analysis
TE00060,MX0020,A029,2023-06-12,5.5,600,3300,Performed legal research
TE00061,MX0021,A004,2023-03-20,6.5,725,4712.5,Performed legal research
TE00062,MX0022,A030,2026-07-04,3,475,1425,Reviewed discovery materials
TE00063,MX0023,A034,2026-04-07,4.5,725,3262.5,Prepared matter status update
TE00064,MX0024,A016,2026-03-04,7,650,4550,Reviewed billing and budget status
TE00065,MX0025,A017,2026-04-08,0.5,550,275,Drafted correspondence and legal memorandum
TE00066,MX0026,A004,2023-07-05,4,725,2900,Prepared for witness interview
TE00067,MX0027,A016,2026-02-01,3.5,650,2275,Performed legal research
TE00068,MX0028,A021,2024-08-16,8,375,3000,Coordinated matter planning with client team
TE00069,MX0029,A032,2023-05-08,8,550,4400,Performed legal research
TE00070,MX0030,A017,2025-08-29,6,550,3300,Prepared for witness interview
TE00071,MX0031,A013,2025-06-08,6,700,4200,Analyzed regulatory and compliance requirements
TE00072,MX0032,A011,2025-12-13,5.5,525,2887.5,Drafted correspondence and legal memorandum
TE00073,MX0033,A001,2024-01-13,3.5,650,2275,Prepared for witness interview
TE00074,MX0034,A029,2026-04-18,0.5,600,300,Prepared for witness interview
TE00075,MX0035,A025,2025-04-07,4,750,3000,Prepared matter status update
TE00076,MX0036,A013,2024-09-13,1,700,700,Performed legal research
TE00077,MX0037,A006,2026-02-08,2.5,375,937.5,Analyzed regulatory and compliance requirements
TE00078,MX0038,A021,2025-09-02,4.5,375,1687.5,Reviewed case documents and prepared analysis
TE00079,MX0039,A025,2026-01-22,5,750,3750,Prepared for witness interview
TE00080,MX0040,A018,2024-11-06,7.5,425,3187.5,Coordinated matter planning with client team
TE00081,MX0041,A032,2026-05-18,5.5,550,3025,Prepared for witness interview
TE00082,MX0042,A023,2023-09-27,3.5,575,2012.5,Reviewed billing and budget status
TE00083,MX0043,A023,2026-05-08,5,575,2875,Drafted correspondence and legal memorandum
TE00084,MX0044,A034,2026-07-31,7.5,725,5437.5,Performed legal research
TE00085,MX0045,A001,2025-12-23,6.5,650,4225,Analyzed regulatory and compliance requirements
TE00086,MX0046,A029,2026-07-22,4.5,600,2700,Drafted correspondence and legal memorandum
TE00087,MX0047,A024,2024-11-08,3,450,1350,Reviewed case documents and prepared analysis
TE00088,MX0048,A036,2026-05-04,1,375,375,Reviewed billing and budget status
TE00089,MX0049,A010,2023-10-14,3,750,2250,Coordinated matter planning with client team
TE00090,MX0050,A032,2024-10-28,4.5,550,2475,Conducted client strategy conference
TE00091,M0092,A007,2024-09-11,7,,,Conducted client strategy conference
TE00092,M0129,A002,2023-08-30,5.5,,,Conducted client strategy conference
TE00093,M0128,A010,2024-05-10,6.5,,,Prepared matter status update
TE00094,M0073,A027,2025-12-28,8,,,Performed legal research
TE00095,M0031,A011,2024-12-21,7,,,Reviewed discovery materials
TE00096,M0091,A023,2026-01-20,0.5,,,Reviewed case documents and prepared analysis
TE00097,M0050,A029,2024-12-18,3.5,,,Drafted correspondence and legal memorandum
TE00098,M0127,A027,2023-12-07,0.5,,,Prepared for witness interview
TE00099,M0112,A012,2026-03-06,0.5,,,Reviewed billing and budget status
TE00100,M0141,A022,2026-07-14,6,,,Prepared matter status update
TE00101,M0005,A019,2025-09-15,7.5,,,Performed legal research
TE00102,M0005,A021,2025-01-04,6,,,Analyzed regulatory and compliance requirements
TE00103,M0143,A032,2025-06-12,3.5,,,Drafted correspondence and legal memorandum
TE00104,M0101,A020,2025-04-29,0.5,,,Drafted correspondence and legal memorandum
TE00105,M0115,A025,2026-01-29,5.5,,,Reviewed billing and budget status
TE00106,M0126,A030,2025-04-13,6,,,Prepared for witness interview
TE00107,M0001,A021,2025-03-31,4,,,Prepared matter status update
TE00108,M0045,A024,2026-06-06,6,,,Drafted correspondence and legal memorandum
TE00109,M0132,A018,2026-02-10,2.5,,,Prepared for witness interview
TE00110,M0027,A023,2024-01-19,3.5,,,Conducted client strategy conference
TE00111,M0023,A007,2026-08-01,6,675,4050,Prepared for witness interview
TE00112,M0023,A007,2026-08-01,6,675,4050,Prepared matter status update
TE00113,M0023,A007,2026-08-01,6,675,4050,Coordinated matter planning with client team
TE00114,M0024,A008,2026-08-01,6,575,3450,Prepared for witness interview
TE00115,M0024,A008,2026-08-01,6,575,3450,Conducted client strategy conference
TE00116,M0024,A008,2026-08-01,6,575,3450,Conducted client strategy conference
TE00117,M0025,A009,2026-08-01,6,450,2700,Prepared for witness interview
TE00118,M0025,A009,2026-08-01,6,450,2700,Reviewed billing and budget status
TE00119,M0025,A009,2026-08-01,6,450,2700,Analyzed regulatory and compliance requirements
TE00120,M0026,A010,2026-08-01,6,750,4500,Performed legal research
TE00121,M0026,A010,2026-08-01,6,750,4500,Reviewed billing and budget status
TE00122,M0026,A010,2026-08-01,6,750,4500,Prepared matter status update
TE00123,M0031,A011,2026-08-01,6,525,3150,Coordinated matter planning with client team
TE00124,M0031,A011,2026-08-01,6,525,3150,Reviewed discovery materials
TE00125,M0031,A011,2026-08-01,6,525,3150,Prepared for witness interview
TE00126,M0032,A012,2026-08-01,6,400,2400,Reviewed billing and budget status
TE00127,M0032,A012,2026-08-01,6,400,2400,Prepared for witness interview
TE00128,M0032,A012,2026-08-01,6,400,2400,Analyzed regulatory and compliance requirements
TE00129,M0033,A013,2026-08-01,6,700,4200,Prepared matter status update
TE00130,M0033,A013,2026-08-01,6,700,4200,Performed legal research
TE00131,M0033,A013,2026-08-01,6,700,4200,Coordinated matter planning with client team
TE00132,M0034,A014,2026-08-01,6,600,3600,Reviewed billing and budget status
TE00133,M0034,A014,2026-08-01,6,600,3600,Reviewed billing and budget status
TE00134,M0034,A014,2026-08-01,6,600,3600,Reviewed billing and budget status
TE00135,M0035,A015,2026-08-01,6,475,2850,Performed legal research
TE00136,M0035,A015,2026-08-01,6,475,2850,Prepared for witness interview
TE00137,M0035,A015,2026-08-01,6,475,2850,Prepared matter status update
TE00138,M0036,A016,2026-08-01,6,650,3900,Conducted client strategy conference
TE00139,M0036,A016,2026-08-01,6,650,3900,Reviewed case documents and prepared analysis
TE00140,M0036,A016,2026-08-01,6,650,3900,Drafted correspondence and legal memorandum
TE00141,M0041,A007,2026-08-02,6,675,4050,Reviewed discovery materials
TE00142,M0041,A007,2026-08-02,6,675,4050,Analyzed regulatory and compliance requirements
TE00143,M0041,A007,2026-08-02,6,675,4050,Coordinated matter planning with client team
TE00144,M0042,A008,2026-08-02,6,575,3450,Drafted correspondence and legal memorandum
TE00145,M0042,A008,2026-08-02,6,575,3450,Analyzed regulatory and compliance requirements
TE00146,M0042,A008,2026-08-02,6,575,3450,Prepared for witness interview
TE00147,M0043,A009,2026-08-02,6,450,2700,Performed legal research
TE00148,M0043,A009,2026-08-02,6,450,2700,Performed legal research
TE00149,M0043,A009,2026-08-02,6,450,2700,Drafted correspondence and legal memorandum
TE00150,M0044,A010,2026-08-02,6,750,4500,Reviewed billing and budget status
TE00151,M0044,A010,2026-08-02,6,750,4500,Reviewed case documents and prepared analysis
TE00152,M0044,A010,2026-08-02,6,750,4500,Prepared for witness interview
TE00153,M0045,A011,2026-08-02,6,525,3150,Reviewed case documents and prepared analysis
TE00154,M0045,A011,2026-08-02,6,525,3150,Prepared for witness interview
TE00155,M0045,A011,2026-08-02,6,525,3150,Performed legal research
TE00156,M0046,A012,2026-08-02,6,400,2400,Reviewed discovery materials
TE00157,M0046,A012,2026-08-02,6,400,2400,Coordinated matter planning with client team
TE00158,M0046,A012,2026-08-02,6,400,2400,Reviewed discovery materials
TE00159,M0051,A013,2026-08-02,6,700,4200,Reviewed billing and budget status
TE00160,M0051,A013,2026-08-02,6,700,4200,Drafted correspondence and legal memorandum
TE00161,M0051,A013,2026-08-02,6,700,4200,Coordinated matter planning with client team
TE00162,M0052,A014,2026-08-02,6,600,3600,Reviewed discovery materials
TE00163,M0052,A014,2026-08-02,6,600,3600,Conducted client strategy conference
TE00164,M0052,A014,2026-08-02,6,600,3600,Prepared matter status update
TE00165,M0053,A015,2026-08-02,6,475,2850,Reviewed discovery materials
TE00166,M0053,A015,2026-08-02,6,475,2850,Coordinated matter planning with client team
TE00167,M0053,A015,2026-08-02,6,475,2850,Performed legal research
TE00168,M0054,A016,2026-08-02,6,650,3900,Drafted correspondence and legal memorandum
TE00169,M0054,A016,2026-08-02,6,650,3900,Prepared for witness interview
TE00170,M0054,A016,2026-08-02,6,650,3900,Reviewed billing and budget status
TE00171,M0055,A007,2026-08-03,6,675,4050,Prepared matter status update
TE00172,M0055,A007,2026-08-03,6,675,4050,Reviewed discovery materials
TE00173,M0055,A007,2026-08-03,6,675,4050,Performed legal research
TE00174,M0056,A008,2026-08-03,6,575,3450,Analyzed regulatory and compliance requirements
TE00175,M0056,A008,2026-08-03,6,575,3450,Performed legal research
TE00176,M0056,A008,2026-08-03,6,575,3450,Performed legal research
TE00177,M0061,A009,2026-08-03,6,450,2700,Performed legal research
TE00178,M0061,A009,2026-08-03,6,450,2700,Reviewed discovery materials
TE00179,M0061,A009,2026-08-03,6,450,2700,Reviewed case documents and prepared analysis
TE00180,M0062,A010,2026-08-03,6,750,4500,Conducted client strategy conference
TE00181,M0062,A010,2026-08-03,6,750,4500,Reviewed discovery materials
TE00182,M0062,A010,2026-08-03,6,750,4500,Analyzed regulatory and compliance requirements
TE00183,M0063,A011,2026-08-03,6,525,3150,Prepared matter status update
TE00184,M0063,A011,2026-08-03,6,525,3150,Reviewed discovery materials
TE00185,M0063,A011,2026-08-03,6,525,3150,Conducted client strategy conference
TE00186,M0064,A012,2026-08-03,6,400,2400,Performed legal research
TE00187,M0064,A012,2026-08-03,6,400,2400,Conducted client strategy conference
TE00188,M0064,A012,2026-08-03,6,400,2400,Prepared matter status update
TE00189,M0065,A013,2026-08-03,6,700,4200,Conducted client strategy conference
TE00190,M0065,A013,2026-08-03,6,700,4200,Performed legal research
TE00191,M0065,A013,2026-08-03,6,700,4200,Reviewed case documents and prepared analysis
TE00192,M0066,A014,2026-08-03,6,600,3600,Reviewed discovery materials
TE00193,M0066,A014,2026-08-03,6,600,3600,Reviewed billing and budget status
TE00194,M0066,A014,2026-08-03,6,600,3600,Prepared matter status update
TE00195,M0071,A015,2026-08-03,6,475,2850,Prepared matter status update
TE00196,M0071,A015,2026-08-03,6,475,2850,Prepared for witness interview
TE00197,M0071,A015,2026-08-03,6,475,2850,Prepared matter status update
TE00198,M0072,A016,2026-08-03,6,650,3900,Drafted correspondence and legal memorandum
TE00199,M0072,A016,2026-08-03,6,650,3900,Prepared matter status update
TE00200,M0072,A016,2026-08-03,6,650,3900,Reviewed case documents and prepared analysis
TE00201,M0121,A016,2025-08-13,5,650,3250,Conducted client strategy conference
TE00202,M0022,A026,2024-03-16,7.5,525,3937.5,Drafted correspondence and legal memorandum
TE00203,M0149,A027,2024-05-05,4.5,400,1800,Reviewed case documents and prepared analysis
TE00204,M0142,A027,2025-06-14,2,400,800,Analyzed regulatory and compliance requirements
TE00205,M0034,A032,2026-05-22,1,550,550,Drafted correspondence and legal memorandum
TE00206,M0063,A037,2024-11-15,1.5,675,1012.5,Prepared matter status update
TE00207,M0041,A024,2025-11-18,5,450,2250,Prepared matter status update
TE00208,M0090,A027,2024-01-15,0.5,400,200,Coordinated matter planning with client team
TE00209,M0020,A013,2025-12-14,2,700,1400,Conducted client strategy conference
TE00210,M0027,A012,2024-05-21,7,400,2800,Performed legal research
TE00211,M0051,A016,2026-05-03,5,650,3250,Reviewed billing and budget status
TE00212,M0045,A012,2026-05-18,6.5,400,2600,Reviewed case documents and prepared analysis
TE00213,M0138,A003,2023-10-19,8,425,3400,Coordinated matter planning with client team
TE00214,M0032,A005,2026-06-12,3.5,625,2187.5,Prepared for witness interview
TE00215,M0009,A036,2023-11-28,3.5,375,1312.5,Prepared for witness interview
TE00216,M0036,A019,2024-09-24,6,725,4350,Conducted client strategy conference
TE00217,M0043,A018,2026-07-25,6,425,2550,Reviewed discovery materials
TE00218,M0123,A022,2026-05-26,1,675,675,Reviewed case documents and prepared analysis
TE00219,M0040,A015,2025-08-17,6.5,475,3087.5,Drafted correspondence and legal memorandum
TE00220,M0054,A020,2026-03-25,0.5,625,312.5,Analyzed regulatory and compliance requirements
TE00221,M0049,A010,2023-08-27,7.5,750,5625,Analyzed regulatory and compliance requirements
TE00222,M0127,A008,2023-12-14,0.5,575,287.5,Analyzed regulatory and compliance requirements
TE00223,M0075,A011,2026-05-27,8,525,4200,Reviewed discovery materials
TE00224,M0035,A028,2024-12-03,4,700,2800,Coordinated matter planning with client team
TE00225,M0098,A001,2023-09-20,4,650,2600,Drafted correspondence and legal memorandum
TE00226,M0137,A037,2025-01-25,6.5,675,4387.5,Conducted client strategy conference
TE00227,M0116,A012,2024-07-27,4.5,400,1800,Conducted client strategy conference
TE00228,M0103,A037,2023-11-30,5.5,675,3712.5,Reviewed billing and budget status
TE00229,M0011,A030,2025-08-21,6.5,475,3087.5,Drafted correspondence and legal memorandum
TE00230,M0108,A006,2025-02-22,5,375,1875,Performed legal research
TE00231,M0097,A031,2024-01-04,0.5,650,325,Analyzed regulatory and compliance requirements
TE00232,M0088,A002,2023-08-24,0.5,550,275,Reviewed billing and budget status
TE00233,M0050,A014,2025-08-23,2,600,1200,Coordinated matter planning with client team
TE00234,M0064,A034,2024-08-12,1.5,725,1087.5,Reviewed discovery materials
TE00235,M0116,A003,2026-06-01,5.5,425,2337.5,Reviewed billing and budget status
TE00236,M0045,A003,2026-03-08,5,425,2125,Conducted client strategy conference
TE00237,M0019,A009,2025-11-23,2,450,900,Reviewed billing and budget status
TE00238,M0070,A007,2025-09-21,5,675,3375,Reviewed billing and budget status
TE00239,M0125,A018,2025-08-28,8,425,3400,Performed legal research
TE00240,M0102,A018,2026-07-06,8,425,3400,Performed legal research
TE00241,M0130,A007,2025-12-26,2,675,1350,Reviewed discovery materials
TE00242,M0015,A005,2026-02-18,8,625,5000,Coordinated matter planning with client team
TE00243,M0075,A003,2023-12-19,7.5,425,3187.5,Analyzed regulatory and compliance requirements
TE00244,M0105,A007,2024-10-31,7.5,675,5062.5,Reviewed billing and budget status
TE00245,M0080,A017,2024-12-30,4,550,2200,Prepared for witness interview
TE00246,M0120,A015,2026-07-24,7,475,3325,Conducted client strategy conference
TE00247,M0144,A004,2025-09-01,6.5,725,4712.5,Performed legal research
TE00248,M0030,A004,2024-07-20,2,725,1450,Coordinated matter planning with client team
TE00249,M0010,A020,2024-07-25,2.5,625,1562.5,Prepared matter status update
TE00250,M0082,A028,2024-07-26,4,700,2800,Performed legal research
TE00251,M0142,A018,2025-03-04,1,425,425,Reviewed case documents and prepared analysis
TE00252,M0049,A019,2023-08-18,6.5,725,4712.5,Prepared matter status update
TE00253,M0124,A018,2025-11-13,0.5,425,212.5,Drafted correspondence and legal memorandum
TE00254,M0126,A020,2024-11-12,7,625,4375,Prepared matter status update
TE00255,M0148,A018,2024-12-16,2,425,850,Prepared matter status update
TE00256,M0027,A024,2024-06-07,2,450,900,Performed legal research
TE00257,M0026,A036,2024-11-19,0.5,375,187.5,Prepared for witness interview
TE00258,M0135,A017,2025-10-03,3,550,1650,Prepared for witness interview
TE00259,M0060,A037,2024-10-03,4.5,675,3037.5,Prepared matter status update
TE00260,M0065,A023,2025-12-04,1.5,575,862.5,Prepared matter status update
TE00261,M0057,A025,2024-06-12,5.5,750,4125,Reviewed discovery materials
TE00262,M0116,A030,2024-03-20,6.5,475,3087.5,Prepared for witness interview
TE00263,M0093,A001,2025-09-13,2.5,650,1625,Coordinated matter planning with client team
TE00264,M0005,A036,2024-01-31,3.5,375,1312.5,Coordinated matter planning with client team
TE00265,M0133,A009,2024-11-16,4.5,450,2025,Performed legal research
TE00266,M0086,A031,2026-02-22,4.5,650,2925,Prepared matter status update
TE00267,M0136,A012,2026-02-07,8,400,3200,Prepared for witness interview
TE00268,M0136,A037,2026-01-16,3,675,2025,Coordinated matter planning with client team
TE00269,M0098,A020,2023-10-21,3.5,625,2187.5,Coordinated matter planning with client team
TE00270,M0135,A026,2025-08-11,4,525,2100,Conducted client strategy conference
TE00271,M0007,A001,2025-07-28,4,650,2600,Coordinated matter planning with client team
TE00272,M0135,A034,2025-05-08,1,725,725,Analyzed regulatory and compliance requirements
TE00273,M0140,A019,2025-04-12,1,725,725,Reviewed billing and budget status
TE00274,M0127,A003,2023-08-08,4,425,1700,Analyzed regulatory and compliance requirements
TE00275,M0066,A024,2025-12-14,4.5,450,2025,Drafted correspondence and legal memorandum
TE00276,M0134,A001,2024-12-18,5.5,650,3575,Drafted correspondence and legal memorandum
TE00277,M0020,A024,2025-05-01,5,450,2250,Drafted correspondence and legal memorandum
TE00278,M0055,A005,2025-05-14,0.5,625,312.5,Performed legal research
TE00279,M0112,A013,2025-05-16,2.5,700,1750,Conducted client strategy conference
TE00280,M0113,A016,2025-07-06,1,650,650,Performed legal research
TE00281,M0074,A027,2026-06-11,2,400,800,Reviewed billing and budget status
TE00282,M0120,A027,2026-05-04,6,400,2400,Conducted client strategy conference
TE00283,M0080,A001,2025-11-14,5,650,3250,Reviewed discovery materials
TE00284,M0148,A016,2025-02-07,2.5,650,1625,Prepared matter status update
TE00285,M0062,A034,2024-01-17,0.5,725,362.5,Reviewed case documents and prepared analysis
TE00286,M0096,A001,2025-06-24,3,650,1950,Prepared for witness interview
TE00287,M0061,A009,2024-12-27,8,450,3600,Analyzed regulatory and compliance requirements
TE00288,M0046,A035,2025-08-04,0.5,625,312.5,Reviewed case documents and prepared analysis
TE00289,M0077,A025,2023-09-22,7.5,750,5625,Prepared matter status update
TE00290,M0017,A021,2024-04-26,1,375,375,Analyzed regulatory and compliance requirements
TE00291,M0145,A010,2026-05-24,3,750,2250,Drafted correspondence and legal memorandum
TE00292,M0132,A002,2026-01-21,2.5,550,1375,Analyzed regulatory and compliance requirements
TE00293,M0075,A016,2024-06-19,2.5,650,1625,Prepared for witness interview
TE00294,M0068,A002,2024-04-23,4.5,550,2475,Prepared matter status update
TE00295,M0125,A024,2025-02-07,6.5,450,2925,Reviewed billing and budget status
TE00296,M0068,A009,2024-05-08,3,450,1350,Reviewed billing and budget status
TE00297,M0066,A033,2026-02-25,4,425,1700,Drafted correspondence and legal memorandum
TE00298,M0010,A001,2023-06-04,1,650,650,Performed legal research
TE00299,M0109,A006,2025-07-15,3,375,1125,Reviewed case documents and prepared analysis
TE00300,M0101,A010,2025-04-14,7,750,5250,Prepared for witness interview
TE00301,M0085,A007,2026-03-16,6.5,675,4387.5,Analyzed regulatory and compliance requirements
TE00302,M0076,A011,2023-12-06,5.5,525,2887.5,Prepared matter status update
TE00303,M0080,A010,2026-06-20,2,750,1500,Reviewed billing and budget status
TE00304,M0081,A023,2026-02-18,8,575,4600,Prepared matter status update
TE00305,M0043,A030,2025-06-09,4,475,1900,Performed legal research
TE00306,M0131,A023,2025-05-25,6.5,575,3737.5,Analyzed regulatory and compliance requirements
TE00307,M0063,A027,2024-08-30,8,400,3200,Analyzed regulatory and compliance requirements
TE00308,M0135,A004,2025-08-09,3,725,2175,Analyzed regulatory and compliance requirements
TE00309,M0141,A023,2026-01-12,1.5,575,862.5,Performed legal research
TE00310,M0136,A034,2026-02-25,3,725,2175,Conducted client strategy conference
TE00311,M0076,A028,2023-10-26,2.5,700,1750,Reviewed billing and budget status
TE00312,M0129,A006,2023-02-28,0.5,375,187.5,Conducted client strategy conference
TE00313,M0116,A022,2026-03-13,4.5,675,3037.5,Reviewed case documents and prepared analysis
TE00314,M0115,A010,2025-07-08,6.5,750,4875,Prepared matter status update
TE00315,M0145,A022,2025-10-25,4.5,675,3037.5,Prepared matter status update
TE00316,M0069,A002,2025-12-09,2,550,1100,Drafted correspondence and legal memorandum
TE00317,M0124,A029,2026-03-08,4.5,600,2700,Conducted client strategy conference
TE00318,M0092,A007,2024-06-20,1,675,675,Performed legal research
TE00319,M0106,A008,2026-02-04,4.5,575,2587.5,Reviewed billing and budget status
TE00320,M0040,A020,2026-03-18,7.5,625,4687.5,Analyzed regulatory and compliance requirements
TE00321,M0074,A033,2025-11-27,1,425,425,Performed legal research
TE00322,M0062,A017,2026-02-25,4.5,550,2475,Conducted client strategy conference
TE00323,M0090,A028,2025-10-01,8,700,5600,Drafted correspondence and legal memorandum
TE00324,M0110,A019,2026-06-12,2,725,1450,Analyzed regulatory and compliance requirements
TE00325,M0133,A030,2024-05-07,2,475,950,Reviewed discovery materials
TE00326,M0094,A001,2025-06-14,0.5,650,325,Reviewed case documents and prepared analysis
TE00327,M0096,A022,2026-05-31,4,675,2700,Analyzed regulatory and compliance requirements
TE00328,M0029,A026,2025-03-12,5,525,2625,Prepared matter status update
TE00329,M0111,A009,2025-12-14,2.5,450,1125,Coordinated matter planning with client team
TE00330,M0016,A005,2023-01-21,3,625,1875,Drafted correspondence and legal memorandum
TE00331,M0070,A003,2026-04-10,1,425,425,Coordinated matter planning with client team
TE00332,M0084,A004,2025-09-28,8,725,5800,Prepared matter status update
TE00333,M0022,A027,2024-03-21,7.5,400,3000,Conducted client strategy conference
TE00334,M0054,A015,2024-09-04,8,475,3800,Drafted correspondence and legal memorandum
TE00335,M0041,A004,2025-09-19,7,725,5075,Analyzed regulatory and compliance requirements
TE00336,M0011,A036,2024-12-21,6,375,2250,Prepared matter status update
TE00337,M0080,A033,2025-07-24,3.5,425,1487.5,Conducted client strategy conference
TE00338,M0029,A019,2025-04-03,4.5,725,3262.5,Reviewed billing and budget status
TE00339,M0012,A034,2025-08-27,3,725,2175,Analyzed regulatory and compliance requirements
TE00340,M0032,A034,2026-04-16,1.5,725,1087.5,Analyzed regulatory and compliance requirements
TE00341,M0085,A025,2026-05-07,5.5,750,4125,Prepared matter status update
TE00342,M0113,A030,2026-01-07,0.5,475,237.5,Performed legal research
TE00343,M0093,A034,2025-12-29,7.5,725,5437.5,Analyzed regulatory and compliance requirements
TE00344,M0007,A028,2025-03-26,2.5,700,1750,Reviewed case documents and prepared analysis
TE00345,M0131,A005,2025-04-06,4,625,2500,Reviewed case documents and prepared analysis
TE00346,M0080,A013,2024-03-03,6.5,700,4550,Prepared for witness interview
TE00347,M0127,A036,2023-04-15,3,375,1125,Reviewed discovery materials
TE00348,M0129,A028,2023-10-18,7,700,4900,Prepared for witness interview
TE00349,M0102,A018,2026-07-08,7.5,425,3187.5,Analyzed regulatory and compliance requirements
TE00350,M0013,A024,2026-06-07,0.5,450,225,Conducted client strategy conference
TE00351,M0009,A010,2024-08-17,8,750,6000,Reviewed case documents and prepared analysis
TE00352,M0128,A014,2024-06-30,0.5,600,300,Reviewed discovery materials
TE00353,M0132,A003,2025-09-16,2.5,425,1062.5,Prepared for witness interview
TE00354,M0103,A007,2024-01-31,7.5,675,5062.5,Performed legal research
TE00355,M0065,A014,2025-11-10,5.5,600,3300,Performed legal research
TE00356,M0084,A002,2026-06-17,5,550,2750,Coordinated matter planning with client team
TE00357,M0012,A016,2025-02-01,3.5,650,2275,Reviewed case documents and prepared analysis
TE00358,M0028,A031,2025-09-03,2.5,650,1625,Conducted client strategy conference
